vaccine.efficacy,rsv.attack.rate,baseline.risk.wheeze,percent.altered,RR.wheeze.rsvh.1.6,RR.wheeze.rsvh.2.6,RR.wheeze.rsvh.4
0.5,0.027,0.049,0.0135,0.992029128124385,0.9792944785276074,0.9625346901017577
0.5,0.06,0.049,0.03,0.9826254826254827,0.9562043795620437,0.9237288135593221
0.5,0.17,0.049,0.085,0.9537205081669692,0.8930817610062893,0.8311258278145696
0.7,0.027,0.049,0.0189,0.988840779374139,0.9710122699386503,0.9475485661424607
0.7,0.06,0.049,0.041999999999999996,0.9756756756756757,0.9386861313868613,0.8932203389830509
0.7,0.17,0.049,0.119,0.9352087114337567,0.8503144654088051,0.7635761589403974
0.9,0.027,0.049,0.0243,0.985652430623893,0.9627300613496933,0.9325624421831639
0.9,0.06,0.049,0.054,0.9687258687258689,0.9211678832116789,0.8627118644067796
0.9,0.17,0.049,0.15300000000000002,0.9166969147005445,0.8075471698113207,0.6960264900662251
0.5,0.027,0.095,0.0135,0.992029128124385,0.9792944785276075,0.9625346901017576
0.5,0.06,0.095,0.03,0.9826254826254825,0.9562043795620438,0.9237288135593221
0.5,0.17,0.095,0.085,0.9537205081669692,0.8930817610062893,0.8311258278145693
0.7,0.027,0.095,0.0189,0.9888407793741391,0.9710122699386503,0.9475485661424606
0.7,0.06,0.095,0.041999999999999996,0.9756756756756756,0.9386861313868613,0.8932203389830508
0.7,0.17,0.095,0.119,0.9352087114337568,0.8503144654088051,0.7635761589403973
0.9,0.027,0.095,0.0243,0.9856524306238931,0.9627300613496933,0.9325624421831638
0.9,0.06,0.095,0.054,0.9687258687258686,0.9211678832116788,0.8627118644067796
0.9,0.17,0.095,0.15300000000000002,0.9166969147005445,0.8075471698113208,0.6960264900662251
0.5,0.027,0.2,0.0135,0.9920291281243849,0.9792944785276074,0.9625346901017576
0.5,0.06,0.2,0.03,0.9826254826254827,0.9562043795620438,0.9237288135593221
0.5,0.17,0.2,0.085,0.953720508166969,0.8930817610062893,0.8311258278145695
0.7,0.027,0.2,0.0189,0.988840779374139,0.9710122699386503,0.9475485661424606
0.7,0.06,0.2,0.041999999999999996,0.9756756756756757,0.9386861313868613,0.8932203389830509
0.7,0.17,0.2,0.119,0.9352087114337567,0.8503144654088052,0.7635761589403973
0.9,0.027,0.2,0.0243,0.985652430623893,0.9627300613496932,0.9325624421831636
0.9,0.06,0.2,0.054,0.9687258687258687,0.9211678832116789,0.8627118644067797
0.9,0.17,0.2,0.15300000000000002,0.9166969147005444,0.8075471698113208,0.6960264900662252
